"","week","season","Home_Team","Away_Team","Home_EPA_rank","Away_EPA_rank","Proj_Winner","rank_diff"
"1",14,2020,"LA","NE",5,22,"LA",17
"2",14,2020,"CHI","HOU",27,24,"HOU",3
"3",14,2020,"CIN","DAL",25,31,"CIN",6
"4",14,2020,"MIA","KC",8,4,"KC",4
"5",14,2020,"NYG","ARI",23,15,"ARI",8
"6",14,2020,"TB","MIN",9,16,"TB",7
"7",14,2020,"CAR","DEN",18,28,"CAR",10
"8",14,2020,"JAX","TEN",30,11,"TEN",19
"9",14,2020,"LV","IND",20,12,"IND",8
"10",14,2020,"SEA","NYJ",14,32,"SEA",18
"11",14,2020,"DET","GB",29,2,"GB",27
"12",14,2020,"PHI","NO",26,3,"NO",23
"13",14,2020,"LAC","ATL",13,17,"LAC",4
"14",14,2020,"SF","WAS",19,21,"SF",2
"15",14,2020,"BUF","PIT",6,1,"PIT",5
"16",14,2020,"CLE","BAL",7,10,"CLE",3
