"","week","season","Home_Team","Away_Team","Home_EPA_rank","Away_EPA_rank","Proj_Winner","rank_diff"
"1",16,2020,"NO","MIN",6,18,"NO",12
"2",16,2020,"DET","TB",30,7,"TB",23
"3",16,2020,"ARI","SF",15,17,"ARI",2
"4",16,2020,"LV","MIA",20,11,"MIA",9
"5",16,2020,"GB","TEN",1,10,"GB",9
"6",16,2020,"KC","ATL",3,19,"KC",16
"7",16,2020,"NYJ","CLE",32,8,"CLE",24
"8",16,2020,"PIT","IND",4,13,"PIT",9
"9",16,2020,"JAX","CHI",31,23,"CHI",8
"10",16,2020,"BAL","NYG",9,25,"BAL",16
"11",16,2020,"HOU","CIN",26,27,"HOU",1
"12",16,2020,"LAC","DEN",14,29,"LAC",15
"13",16,2020,"WAS","CAR",16,21,"WAS",5
"14",16,2020,"DAL","PHI",28,24,"PHI",4
"15",16,2020,"SEA","LA",12,5,"LA",7
"16",16,2020,"NE","BUF",22,2,"BUF",20
