"","week","season","Home_Team","Away_Team","Home_EPA_rank","Away_EPA_rank","Proj_Winner","rank_diff"
"1",11,2020,"SEA","ARI",16,11,"ARI",5
"2",11,2020,"CLE","PHI",13,22,"CLE",9
"3",11,2020,"NO","ATL",8,18,"NO",10
"4",11,2020,"WAS","CIN",24,23,"CIN",1
"5",11,2020,"CAR","DET",21,27,"CAR",6
"6",11,2020,"JAX","PIT",30,1,"PIT",29
"7",11,2020,"BAL","TEN",6,17,"BAL",11
"8",11,2020,"HOU","NE",28,20,"NE",8
"9",11,2020,"DEN","MIA",29,10,"MIA",19
"10",11,2020,"LAC","NYJ",14,32,"LAC",18
"11",11,2020,"IND","GB",9,3,"GB",6
"12",11,2020,"MIN","DAL",12,31,"MIN",19
"13",11,2020,"LV","KC",15,2,"KC",13
"14",11,2020,"TB","LA",5,4,"LA",1
