"","week","season","Home_Team","Away_Team","Home_EPA_rank","Away_EPA_rank","Proj_Winner","rank_diff"
"1",15,2020,"LV","LAC",20,14,"LAC",6
"2",15,2020,"DEN","BUF",29,2,"BUF",27
"3",15,2020,"GB","CAR",1,21,"GB",20
"4",15,2020,"ATL","TB",19,7,"TB",12
"5",15,2020,"DAL","SF",28,17,"SF",11
"6",15,2020,"TEN","DET",10,30,"TEN",20
"7",15,2020,"IND","HOU",13,26,"IND",13
"8",15,2020,"MIA","NE",11,22,"MIA",11
"9",15,2020,"MIN","CHI",18,23,"MIN",5
"10",15,2020,"WAS","SEA",16,12,"SEA",4
"11",15,2020,"BAL","JAX",9,31,"BAL",22
"12",15,2020,"LA","NYJ",5,32,"LA",27
"13",15,2020,"ARI","PHI",15,24,"ARI",9
"14",15,2020,"NO","KC",6,3,"KC",3
"15",15,2020,"NYG","CLE",25,8,"CLE",17
"16",15,2020,"CIN","PIT",27,4,"PIT",23
