"","week","season","Home_Team","Away_Team","Home_EPA_rank","Away_EPA_rank","Proj_Winner","rank_diff"
"1",17,2020,"PHI","WAS",28,20,"WAS",8
"2",17,2020,"IND","JAX",12,31,"IND",19
"3",17,2020,"CHI","GB",22,1,"GB",21
"4",17,2020,"NYG","DAL",27,24,"DAL",3
"5",17,2020,"CLE","PIT",9,4,"PIT",5
"6",17,2020,"HOU","TEN",26,13,"TEN",13
"7",17,2020,"CAR","NO",17,6,"NO",11
"8",17,2020,"NE","NYJ",25,32,"NE",7
"9",17,2020,"DET","MIN",30,18,"MIN",12
"10",17,2020,"TB","ATL",7,19,"TB",12
"11",17,2020,"CIN","BAL",23,8,"BAL",15
"12",17,2020,"BUF","MIA",2,10,"BUF",8
"13",17,2020,"KC","LAC",3,14,"KC",11
"14",17,2020,"SF","SEA",16,11,"SEA",5
"15",17,2020,"DEN","LV",29,21,"LV",8
"16",17,2020,"LA","ARI",5,15,"LA",10
